,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name
AAL,225,200,200,B,B,B,American Airlines Group Inc.
AAPL,355,255,275,BB,B,B,Apple Inc.
ADBE,240,210,200,B,B,B,Adobe Systems Incorporated
ADI,345,290,307,BB,BB,B,Analog Devices Inc.
ADP,520,305,307,A,BB,BB,Automatic Data Processing Inc.
ADSK,560,310,331,A,BB,BB,Autodesk Inc.
AKAM,580,375,353,A,BB,BB,Akamai Technologies Inc.
ALXN,200,200,201,B,B,B,Alexion Pharmaceuticals Inc.
AMAT,543,318,318,A,BB,BB,Applied Materials Inc.
AMGN,527,300,355,A,BB,BB,Amgen Inc.
AMZN,658,305,303,AA,BB,BB,Amazon.com Inc.
ATVI,280,300,331,B,BB,BB,Activision Blizzard Inc
AVGO,240,220,215,B,B,B,Broadcom Limited
BATRA,500,300,300,A,BB,BB,Liberty Media Corporation
BATRK,500,300,300,A,BB,BB,Liberty Media Corporation
BBBY,225,205,201,B,B,B,Bed Bath &amp; Beyond Inc.
BIDU,225,205,207,B,B,B,Baidu Inc.
BIIB,390,328,320,BB,BB,BB,Biogen Inc.
BMRN,525,305,304,A,BB,BB,BioMarin Pharmaceutical Inc.
CA,200,215,220,B,B,B,CA Inc.
CERN,515,300,307,A,BB,BB,Cerner Corporation
CHKP,545,300,310,A,BB,BB,Check Point Software Technologies Ltd.
CHTR,500,300,300,A,BB,BB,Charter Communications Inc.
CMCSA,505,310,356,A,BB,BB,Comcast Corporation
COST,540,210,305,A,BB,B,Costco Wholesale Corporation
CSCO,235,210,239,B,B,B,Cisco Systems Inc.
CSX,545,308,315,A,BB,BB,CSX Corporation
CTSH,600,300,407,AA,BBB,BB,Cognizant Technology Solutions Corporation
CTXS,555,305,328,A,BB,BB,Citrix Systems Inc.
DISCA,505,305,303,A,BB,BB,Discovery Communications Inc.
DISH,210,205,257,B,B,B,DISH Network Corporation
DLTR,205,200,230,B,B,B,Dollar Tree Inc.
EA,395,225,303,BB,BB,B,Electronic Arts Inc.
EBAY,515,300,300,A,BB,BB,eBay Inc.
ENDP,500,312,300,A,BB,BB,Endo International plc
EXPE,227,300,235,B,B,BB,Expedia Inc.
FAST,230,200,303,B,BB,B,Fastenal Company
FB,520,305,281,A,B,BB,Facebook Inc.
FISV,400,300,300,BBB,BB,BB,Fiserv Inc.
FOX,65,290,273,DDD,B,B,Twenty-First Century Fox Inc.
FOXA,290,300,300,B,BB,BB,Twenty-First Century Fox Inc.
GILD,500,300,303,A,BB,BB,Gilead Sciences Inc.
GOOG,210,345,340,B,BB,BB,Alphabet Inc.
GOOGL,290,325,200,B,B,BB,Alphabet Inc.
HSIC,210,200,204,B,B,B,Henry Schein Inc.
ILMN,500,300,303,A,BB,BB,Illumina Inc.
INCY,505,300,312,A,BB,BB,Incyte Corporation
INTC,350,465,325,BB,BB,BBB,Intel Corporation
INTU,545,300,302,A,BB,BB,Intuit Inc.
ISRG,530,281,262,A,B,B,Intuitive Surgical Inc.
JD,500,310,236,A,B,BB,JD.com Inc.
KHC,515,300,321,A,BB,BB,The Kraft Heinz Company
LBTYA,550,310,353,A,BB,BB,Liberty Global plc
LRCX,545,310,324,A,BB,BB,Lam Research Corporation
MAR,210,210,207,B,B,B,Marriott International
MAT,215,305,301,B,BB,BB,Mattel Inc.
MDLZ,513,300,327,A,BB,BB,Mondelez International Inc.
MNST,615,325,307,AA,BB,BB,Monster Beverage Corporation
MSFT,415,205,232,BBB,B,B,Microsoft Corporation
MU,535,310,308,A,BB,BB,Micron Technology Inc.
MXIM,315,205,318,BB,BB,B,Maxim Integrated Products Inc.
MYL,533,300,304,A,BB,BB,Mylan N.V.
NCLH,555,305,302,A,BB,BB,Norwegian Cruise Line Holdings Ltd.
NTAP,535,315,346,A,BB,BB,NetApp Inc.
NTES,505,300,295,A,B,BB,NetEase Inc.
NVDA,323,280,304,BB,BB,B,NVIDIA Corporation
NXPI,525,305,331,A,BB,BB,NXP Semiconductors N.V.
ORLY,500,300,300,A,BB,BB,'O''Reilly Automotive Inc.'
PAYX,505,320,341,A,BB,BB,Paychex Inc.
PCAR,530,305,382,A,BB,BB,PACCAR Inc.
PYPL,400,318,230,BBB,B,BB,PayPal Holdings Inc.
QCOM,404,300,300,BBB,BB,BB,QUALCOMM Incorporated
REGN,525,300,301,A,BB,BB,Regeneron Pharmaceuticals Inc.
ROST,385,300,304,BB,BB,BB,Ross Stores Inc.
SBAC,250,215,251,B,B,B,SBA Communications Corporation
SBUX,515,303,335,A,BB,BB,Starbucks Corporation
SIRI,240,205,301,B,BB,B,Sirius XM Holdings Inc.
SRCL,575,300,319,A,BB,BB,Stericycle Inc.
STX,515,315,310,A,BB,BB,Seagate Technology PLC
SWKS,505,270,305,A,BB,B,Skyworks Solutions Inc.
SYMC,500,300,300,A,BB,BB,Symantec Corporation
TMUS,391,225,308,BB,BB,B,T-Mobile US Inc.
TRIP,210,200,214,B,B,B,TripAdvisor Inc.
TSCO,503,305,300,A,BB,BB,Tractor Supply Company
TSLA,563,255,146,A,CC,B,Tesla Motors Inc.
TXN,500,300,300,A,BB,BB,Texas Instruments Incorporated
ULTA,200,205,228,B,B,B,Ulta Salon Cosmetics &amp; Fragrance Inc.
VRSK,650,300,365,AA,BB,BB,Verisk Analytics Inc.
VRTX,294,300,300,B,BB,BB,Vertex Pharmaceuticals Incorporated
WBA,510,300,301,A,BB,BB,Walgreens Boots Alliance Inc.
WDC,415,240,305,BBB,BB,B,Western Digital Corporation
XLNX,360,300,304,BB,BB,BB,Xilinx Inc.
