,shallow_preds,svm_preds,gbc_preds,lr_preds,deep_preds,sgdc_preds,mean,signal,entry/exit,close,position,entry/exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2021-10-29 00:00:00+00:00,0.0,0,0,0,0.0,0,0.0,0.0,0.0,4337.39,0.0,0.0,0.0,36000.0,36000.0,,
2021-10-30 00:00:00+00:00,-0.96045303,1,-1,-1,-0.5944335,-1,-0.5924810866514841,-1.0,-1.0,4370.58,-9.22,-9.22,-40296.75,76296.75,36000.0,0.0,1.0
2021-10-31 00:00:00+00:00,-0.97804284,-1,-1,-1,-0.78637505,-1,-0.9607363144556681,-1.0,0.0,4230.58,-9.22,0.0,-39005.95,76296.75,37290.8,0.0359,1.0359
2021-11-01 00:00:00+00:00,-0.9277989,1,-1,1,-0.771908,-1,-0.2832844853401184,0.0,1.0,4366.37,0.0,9.22,0.0,36038.82,36038.82,-0.0336,1.0011
2021-11-02 00:00:00+00:00,-0.9279876,-1,-1,-1,-0.4819111,-1,-0.9016497780879339,-1.0,-1.0,4542.43,-9.22,-9.22,-41881.2,77920.01999999999,36038.82,0.0,1.0011
2021-11-03 00:00:00+00:00,-0.9425066,-1,-1,-1,-0.6396173,-1,-0.930353989203771,-1.0,0.0,4581.53,-9.22,0.0,-42241.71,77920.01999999999,35678.31,-0.01,0.9911
2021-11-04 00:00:00+00:00,-0.96742505,1,-1,1,-0.7908,-1,-0.2930375039577484,0.0,1.0,4455.17,0.0,9.22,0.0,36843.35,36843.35,0.0327,1.0235
2021-11-05 00:00:00+00:00,-0.9798439,1,-1,-1,-0.76264834,-1,-0.6237487097581228,-1.0,-1.0,4498.46,-9.22,-9.22,-41475.8,78319.15,36843.35,0.0,1.0235
2021-11-06 00:00:00+00:00,-0.82374215,-1,-1,1,-0.7203893,1,-0.2573552429676056,0.0,1.0,4553.92,0.0,9.22,0.0,36332.01,36332.01,-0.0139,1.0093
2021-11-07 00:00:00+00:00,-0.9487927,-1,-1,-1,-0.5280995,-1,-0.9128153622150421,-1.0,-1.0,4723.23,-9.22,-9.22,-43548.18,79880.19,36332.01,0.0,1.0093
2021-11-08 00:00:00+00:00,-0.95270187,-1,-1,-1,-0.69187486,-1,-0.9407627880573273,-1.0,0.0,4828.79,-9.22,0.0,-44521.44,79880.19,35358.75,-0.0268,0.9822
2021-11-09 00:00:00+00:00,-0.9767677,-1,-1,-1,-0.7956492,-1,-0.9620694816112518,-1.0,0.0,4702.01,-9.22,0.0,-43352.53,79880.19,36527.66,0.0331,1.0147
2021-11-10 00:00:00+00:00,-0.98512435,1,-1,1,-0.8372478,-1,-0.3037286897500356,-1.0,0.0,4657.46,-9.22,0.0,-42941.78,79880.19,36938.41,0.0112,1.0261
2021-11-11 00:00:00+00:00,-0.95670974,-1,-1,1,-0.72733265,-1,-0.6140070656935374,-1.0,0.0,4741.06,-9.22,0.0,-43712.57,79880.19,36167.62,-0.0209,1.0046
2021-11-12 00:00:00+00:00,-0.99030304,-1,-1,-1,-0.85089517,-1,-0.973533034324646,-1.0,0.0,4619.01,-9.22,0.0,-42587.27,79880.19,37292.92,0.0311,1.0359
2021-11-13 00:00:00+00:00,-0.9591321,-1,-1,-1,-0.8476736,-1,-0.9678009450435638,-1.0,0.0,4642.57,-9.22,0.0,-42804.5,79880.19,37075.69,-0.0058,1.0299
2021-11-14 00:00:00+00:00,-0.9166535,-1,-1,1,-0.69883865,1,-0.26924869418144226,0.0,1.0,4694.27,0.0,9.22,0.0,36599.02,36599.02,-0.0129,1.0166
2021-11-15 00:00:00+00:00,-0.90388477,-1,-1,-1,-0.91754633,-1,-0.9702385167280833,-1.0,-1.0,4339.94,-9.22,-9.22,-40014.25,76613.26999999999,36599.02,0.0,1.0166
2021-11-16 00:00:00+00:00,-0.9775002,-1,-1,-1,-0.9233042,-1,-0.9834674000740051,-1.0,0.0,4177.85,-9.22,0.0,-38519.78,76613.26999999999,38093.49,0.0408,1.0581
2021-11-17 00:00:00+00:00,-0.98050153,-1,-1,-1,-0.43372023,-1,-0.90237029393514,-1.0,0.0,4259.3,-9.22,0.0,-39270.75,76613.26999999999,37342.52,-0.0197,1.0372
2021-11-18 00:00:00+00:00,-0.84197134,1,-1,-1,-0.6381569,-1,-0.5800213714440664,-1.0,0.0,4080.77,-9.22,0.0,-37624.7,76613.26999999999,38988.57,0.0441,1.083
2021-11-19 00:00:00+00:00,-0.9758508,-1,-1,-1,-0.35258895,-1,-0.8880732953548431,-1.0,0.0,4281.04,-9.22,0.0,-39471.19,76613.26999999999,37142.08,-0.0474,1.0316
2021-11-20 00:00:00+00:00,-0.9673878,-1,-1,-1,-0.6201434,-1,-0.9312552014986674,-1.0,0.0,4369.97,-9.22,0.0,-40291.12,76613.26999999999,36322.15,-0.0221,1.0088
2021-11-21 00:00:00+00:00,-0.9812954,-1,-1,-1,-0.6967735,-1,-0.9463448226451874,-1.0,0.0,4185.49,-9.22,0.0,-38590.22,76613.26999999999,38023.05,0.0468,1.0561
2021-11-22 00:00:00+00:00,-0.9641939,1,-1,1,-0.6616569,-1,-0.27097513278325397,0.0,1.0,4157.07,0.0,9.22,0.0,38285.08,38285.08,0.0069,1.0633
2021-11-23 00:00:00+00:00,-0.6972821,-1,-1,-1,-0.696637,-1,-0.8989865084489187,-1.0,-1.0,4269.73,-9.22,-9.22,-39366.91,77652.0,38285.09,0.0,1.0633
2021-11-24 00:00:00+00:00,-0.9567222,-1,-1,-1,-0.42422432,-1,-0.8968244194984436,-1.0,0.0,4278.43,-9.22,0.0,-39447.12,77652.0,38204.88,-0.0021,1.0611
2021-11-25 00:00:00+00:00,-0.7437671,-1,-1,-1,-0.36191696,-1,-0.8509473403294882,-1.0,0.0,4433.87,-9.22,0.0,-40880.28,77652.0,36771.72,-0.0375,1.0213
2021-11-26 00:00:00+00:00,-0.91746056,-1,-1,1,-0.8359474,1,-0.2922346591949463,0.0,1.0,4093.12,0.0,9.22,0.0,39913.43,39913.43,0.0854,1.1085
2021-11-27 00:00:00+00:00,0.12622653,-1,-1,-1,-0.8719315,-1,-0.7909508273005486,-1.0,-1.0,4056.74,-9.22,-9.22,-37403.14,77316.57,39913.43,0.0,1.1085
2021-11-28 00:00:00+00:00,-0.9799117,-1,-1,-1,-0.6075032,-1,-0.9312358101209005,-1.0,0.0,4325.77,-9.22,0.0,-39883.6,77316.57,37432.97,-0.0621,1.0397
2021-11-29 00:00:00+00:00,-0.47927156,-1,-1,1,-0.30889323,1,-0.13136079907417297,0.0,1.0,4389.78,0.0,9.22,0.0,36842.8,36842.8,-0.0158,1.0233
2021-11-30 00:00:00+00:00,0.07916298,-1,-1,1,-0.7097457,1,-0.10509712124864261,0.0,0.0,4707.74,0.0,0.0,0.0,36842.8,36842.8,0.0,1.0233
2021-12-01 00:00:00+00:00,-0.8397935,1,-1,1,-0.8460225,1,0.05236400167147318,0.0,0.0,4528.57,0.0,0.0,0.0,36842.8,36842.8,0.0,1.0233
