timestamp,shallow_preds,svm_preds,gbc_preds,lr_preds,deep_preds,sgdc_preds,mean,signal,entry/exit,close,position,entry/exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2021-08-06 00:00:00+00:00,0.0,0,0,0,0.0,0,0.0,0.0,0.0,52.56,0.0,0.0,0.0,13000.0,13000.0,,
2021-08-09 00:00:00+00:00,0.77987736,1,1,1,0.27097082,1,0.8418080310026804,1.0,1.0,51.75,274.82,274.82,14221.94,-1221.9400000000005,13000.0,0.0,1.0
2021-08-10 00:00:00+00:00,0.58324987,1,1,1,-0.8726798,1,0.6184283395608267,1.0,0.0,52.7,274.82,0.0,14483.01,-1221.9400000000005,13261.07,0.0201,1.0201
2021-08-11 00:00:00+00:00,0.85130864,1,1,1,-0.01104829,-1,0.47337672564511496,1.0,0.0,52.83,274.82,0.0,14518.74,-1221.9400000000005,13296.8,0.0027,1.0229
2021-08-12 00:00:00+00:00,0.19792184,-1,-1,1,-0.21503808,1,-0.0028527056177457175,0.0,-1.0,53.37,0.0,-274.82,0.0,13445.21,13445.21,0.0112,1.0343
2021-08-13 00:00:00+00:00,-0.73836,1,-1,1,-0.8085185,-1,-0.2578130861123403,0.0,0.0,52.45,0.0,0.0,0.0,13445.21,13445.21,0.0,1.0343
2021-08-16 00:00:00+00:00,0.5151082,1,1,1,-0.9244564,1,0.5984419683615366,1.0,1.0,51.75,274.82,274.82,14221.94,-776.7299999999996,13445.21,0.0,1.0343
2021-08-17 00:00:00+00:00,0.6707227,1,-1,1,-0.2805208,1,0.3983669877052307,0.0,-1.0,51.28,0.0,-274.82,0.0,13316.04,13316.04,-0.0096,1.0244
2021-08-18 00:00:00+00:00,0.44092384,1,-1,1,-0.7227543,1,0.28636159002780914,0.0,0.0,50.56,0.0,0.0,0.0,13316.04,13316.04,0.0,1.0244
2021-08-19 00:00:00+00:00,0.71281207,1,1,1,0.291328,1,0.8340233465035757,1.0,1.0,49.27,274.82,274.82,13540.38,-224.34000000000015,13316.04,0.0,1.0244
2021-08-20 00:00:00+00:00,0.11516041,1,-1,1,0.0699868,1,0.3641912018259366,0.0,-1.0,50.43,0.0,-274.82,0.0,13634.83,13634.83,0.0239,1.0489
2021-08-23 00:00:00+00:00,0.6357347,-1,1,1,0.52861154,1,0.5273910363515218,1.0,1.0,51.98,274.82,274.82,14285.14,-650.3099999999995,13634.83,0.0,1.0489
2021-08-24 00:00:00+00:00,0.9824564,1,-1,1,0.73258,1,0.619172732035319,1.0,0.0,52.96,274.82,0.0,14554.47,-650.3099999999995,13904.16,0.0198,1.0696
2021-08-25 00:00:00+00:00,-0.7817626,-1,-1,1,-0.75240666,1,-0.2556948761145274,0.0,-1.0,53.46,0.0,-274.82,0.0,14041.57,14041.57,0.0099,1.0802
2021-08-26 00:00:00+00:00,0.97215873,1,1,1,0.89193106,-1,0.644014964501063,1.0,1.0,52.55,274.82,274.82,14441.79,-400.21999999999935,14041.57,0.0,1.0802
2021-08-27 00:00:00+00:00,-0.2789662,-1,1,1,0.56511134,1,0.38102419177691144,0.0,-1.0,53.84,0.0,-274.82,0.0,14396.09,14396.09,0.0252,1.1074
2021-08-30 00:00:00+00:00,-0.09837532,1,1,1,-0.64382136,1,0.5429672201474508,1.0,1.0,53.04,274.82,274.82,14576.45,-180.3700000000008,14396.08,-0.0,1.1074
2021-08-31 00:00:00+00:00,0.2844999,1,1,1,-0.9431488,1,0.5568918536106745,1.0,0.0,52.52,274.82,0.0,14433.55,-180.3700000000008,14253.18,-0.0099,1.0965
2021-09-01 00:00:00+00:00,0.51480395,1,1,-1,-0.6305724,-1,-0.01929473876953125,0.0,-1.0,52.08,0.0,-274.82,0.0,14132.26,14132.26,-0.0085,1.0872
2021-09-02 00:00:00+00:00,0.6897734,1,1,1,-0.68611467,1,0.6672764519850413,1.0,1.0,53.29,274.82,274.82,14645.16,-512.8999999999996,14132.26,0.0,1.0872
2021-09-03 00:00:00+00:00,0.68039626,1,1,-1,0.07900518,-1,0.1265669067700704,0.0,-1.0,53.17,0.0,-274.82,0.0,14099.28,14099.28,-0.0023,1.0847
2021-09-07 00:00:00+00:00,0.8293301,1,1,1,0.95287335,1,0.9637005726496378,1.0,1.0,52.47,274.82,274.82,14419.81,-320.53000000000065,14099.28,0.0,1.0847
2021-09-08 00:00:00+00:00,0.63418853,1,1,-1,0.5536064,-1,0.19796582063039145,0.0,-1.0,52.36,0.0,-274.82,0.0,14069.05,14069.05,-0.0021,1.0824
2021-09-09 00:00:00+00:00,0.59752136,1,1,1,-0.62968767,1,0.6613056162993113,1.0,1.0,52.4,274.82,274.82,14400.57,-331.52000000000044,14069.05,0.0,1.0824
2021-09-10 00:00:00+00:00,0.5031833,1,1,1,-0.38440216,1,0.6864635248978933,1.0,0.0,52.49,274.82,0.0,14425.3,-331.52000000000044,14093.78,0.0018,1.0843
2021-09-13 00:00:00+00:00,0.952413,1,1,1,0.43834716,1,0.8984600305557251,1.0,0.0,53.41,274.82,0.0,14678.14,-331.52000000000044,14346.62,0.0179,1.1037
2021-09-14 00:00:00+00:00,0.12771693,1,1,1,-0.65224105,1,0.579245979587237,1.0,0.0,53.05,274.82,0.0,14579.2,-331.52000000000044,14247.68,-0.0069,1.0961
2021-09-15 00:00:00+00:00,0.08817062,-1,-1,1,-0.30537522,1,-0.03620076676209768,0.0,-1.0,55.71,0.0,-274.82,0.0,14978.7,14978.7,0.0513,1.1524
2021-09-16 00:00:00+00:00,0.18247177,-1,-1,-1,-0.80044967,-1,-0.7696629837155342,-1.0,-1.0,55.57,-274.82,-274.82,-15271.75,30250.45,14978.7,0.0,1.1524
2021-09-17 00:00:00+00:00,-0.19947524,1,1,1,-0.6579715,1,0.5237588758269945,1.0,2.0,55.17,274.82,549.64,15161.82,-73.19000000000051,15088.63,0.0073,1.1608
2021-09-20 00:00:00+00:00,0.5251906,1,1,1,0.95797676,1,0.9138612250487009,1.0,0.0,52.99,274.82,0.0,14562.71,-73.19000000000051,14489.52,-0.0397,1.1147
2021-09-21 00:00:00+00:00,0.6456406,1,1,1,-0.7367971,1,0.6514739195505778,1.0,0.0,53.31,274.82,0.0,14650.65,-73.19000000000051,14577.46,0.0061,1.1215
2021-09-22 00:00:00+00:00,-0.52076656,-1,-1,-1,0.28588447,-1,-0.7058136810859045,-1.0,-2.0,54.85,-274.82,-549.64,-15073.88,30074.57,15000.69,0.029,1.154
2021-09-23 00:00:00+00:00,0.96965533,-1,-1,1,0.68623453,1,0.27598164478937787,0.0,1.0,57.46,0.0,274.82,0.0,14283.41,14283.41,-0.0478,1.0988
2021-09-24 00:00:00+00:00,-0.3021235,-1,-1,-1,-0.8220013,-1,-0.8540207942326864,-1.0,-1.0,57.47,-274.82,-274.82,-15793.91,30077.31,14283.4,-0.0,1.0988
2021-09-27 00:00:00+00:00,-0.5784152,-1,-1,-1,-0.8623495,-1,-0.9067941208680471,-1.0,0.0,58.9,-274.82,0.0,-16186.9,30077.31,13890.41,-0.0275,1.0686
2021-09-28 00:00:00+00:00,-0.24220656,-1,-1,-1,-0.79623777,-1,-0.8397407208879789,-1.0,0.0,58.28,-274.82,0.0,-16016.51,30077.31,14060.8,0.0123,1.0818
2021-09-29 00:00:00+00:00,-0.34453815,-1,-1,-1,-0.90180475,-1,-0.8743904829025269,-1.0,0.0,58.81,-274.82,0.0,-16162.16,30077.31,13915.15,-0.0104,1.0705
2021-09-30 00:00:00+00:00,-0.31406257,-1,-1,-1,-0.7445942,-1,-0.843109463651975,-1.0,0.0,57.99,-274.82,0.0,-15936.81,30077.31,14140.5,0.0162,1.0879
2021-10-01 00:00:00+00:00,-0.2658488,-1,-1,-1,-0.8543115,-1,-0.8533600519100825,-1.0,0.0,59.45,-274.82,0.0,-16338.05,30077.31,13739.26,-0.0284,1.057
2021-10-04 00:00:00+00:00,-0.61293155,-1,-1,-1,-0.85169786,-1,-0.9107715686162313,-1.0,0.0,60.06,-274.82,0.0,-16505.69,30077.31,13571.62,-0.0122,1.0441
2021-10-05 00:00:00+00:00,-0.57307726,-1,-1,-1,-0.9143536,-1,-0.9145718117554983,-1.0,0.0,60.22,-274.82,0.0,-16549.66,30077.31,13527.65,-0.0032,1.0407
