Date,subj_score,simi_score,vader_score,scores_flair,tw_subj_score,tw_simi_score,tw_vader_score,tw_scores_flair
9/3/2021,0.083979595,-0.10663701,0.17108,0.693808912,0,-0.053895595,-0.033913636,0.666626302
9/6/2021,0.041665364,-0.100202383,0.069915,0.673443675,0.019906678,-0.044261275,0.005613636,0.653757231
9/7/2021,0.078873161,-0.115696333,0.155,0.724942055,0.028513636,-0.040507071,-0.0002,0.637792549
9/8/2021,0.152641038,-0.017030422,0.37839,0.783694366,0.04735617,-0.055259019,0.096127273,0.684681109
9/9/2021,0.121869928,-0.10232454,0.24684,0.750699128,0.027872727,-0.042455034,0.005281818,0.653542026
9/13/2021,0.113312417,-0.073679146,0.26714,0.72772693,0.018851136,-0.042496291,0.034945455,0.652939225
9/14/2021,0.124368072,-0.058169353,0.241205,0.734696396,0.007611818,-0.058093131,-0.003436364,0.67894439
9/15/2021,0.157775716,-0.037412121,0.376855,0.757408601,0,-0.043465447,0.030740909,0.658891545
9/16/2021,0.115890597,-0.051563409,0.28354,0.74664342,0.012715909,-0.0464625,-0.00645,0.651352148
9/17/2021,0.163720339,-0.044528018,0.33604,0.763610423,0,-0.050314242,0.01045,0.645077868
9/20/2021,0.088643653,-0.117800213,0.1838,0.71515626,0.008553864,-0.066666056,-0.006695455,0.679196556
9/22/2021,0.103574889,-0.069097205,0.20803,0.721070464,0,-0.045962833,-0.022009091,0.649436634
9/23/2021,0.153579911,0.040356081,0.41302,0.789675842,0,-0.045869784,-0.006145455,0.639088092
9/24/2021,0.149457982,-0.083087557,0.32777,0.726794538,-0.00198,-0.044282751,-0.038481818,0.650754221
9/27/2021,0.076760393,-0.112056184,0.167355,0.709469523,0.007734876,-0.057610054,-0.015590909,0.665448798
9/28/2021,0.10537153,-0.103183874,0.21082,0.727129866,0.022195518,-0.0546737,0.036531818,0.653837835
10/4/2021,0.222795401,0.168728343,0.54447,0.838217309,0.011536932,-0.067014267,0.012363636,0.657174831
10/5/2021,0.111231593,-0.114637157,0.22485,0.710299958,0.012419034,-0.058643633,0.045390909,0.658571582
10/6/2021,0.107504532,-0.076463643,0.258685,0.760755557,0.028882792,-0.052631123,0.064695455,0.687708191
10/7/2021,0.120257835,-0.076941438,0.26524,0.704142088,0.017307045,-0.058881565,0.030386364,0.657648745
10/8/2021,0.17478296,0.06161569,0.454305,0.805415298,0.009078528,-0.048966084,-0.017140909,0.653674294
10/11/2021,0.180297892,-0.004278178,0.40586,0.74416595,0.021948727,-0.04566552,0.010327273,0.642576716
10/12/2021,0.208941634,0.069067422,0.429625,0.824973135,0.039035496,-0.062383039,0.05745,0.712226158
10/13/2021,0.21549578,-0.01543789,0.421965,0.780620278,0.015435727,-0.068907916,0.038572727,0.680759522
10/14/2021,0.26168444,0.298919132,0.58644,0.83768066,0.024647159,-0.043916809,-0.003713636,0.652558977
10/15/2021,0.230229701,0.214764829,0.561815,0.836158779,0.024427996,-0.045195455,0.008754545,0.651967065
10/18/2021,0.225739837,0.123028377,0.51874,0.786400934,0.015363929,-0.047493718,0.014309091,0.647619841
10/19/2021,0.330955323,0.515677954,0.75274,0.884759152,0.003012724,-0.088784472,0.011504545,0.69322417
10/20/2021,0.173477719,0.00050774,0.3659,0.749124691,0.018295455,-0.059867729,0.04945,0.67043033
10/21/2021,0.26348384,0.220246349,0.567135,0.860928191,0.024789596,0.031111336,0.061613636,0.872746603
10/22/2021,0.335542636,0.88856707,0.87016,0.9643805,0.066675786,-0.017089291,0.065904545,0.917893667
10/25/2021,0.292961784,0.425620393,0.724005,0.856080928,0.059212748,-0.046841296,0.086363636,0.683041212
10/26/2021,0.221975186,0.274122093,0.595135,0.863224341,0.087861384,0.040237437,0.203309091,0.778999017
10/27/2021,0.278682108,0.409785776,0.667525,0.852031489,0.065269823,-0.038223341,0.137313636,0.74782365
10/28/2021,0.170924083,-0.045613877,0.37515,0.777963763,0.015171364,-0.045812638,0.021663636,0.68452876
10/29/2021,0.178562951,0.067379838,0.463455,0.778587757,-0.001176364,-0.059832134,0.003886364,0.71043869
11/1/2021,0.210905092,0.06061495,0.466415,0.805572438,0.072567909,-0.059691344,0.103231818,0.692330618
11/2/2021,0.264009835,0.179764175,0.575245,0.834627572,0.021624909,-0.048819503,0.036063636,0.642229487
11/3/2021,0.277811985,0.235090966,0.632125,0.828906767,0.040953409,-0.049230273,0.083077273,0.664836409
11/4/2021,0.159392584,-0.017273239,0.38382,0.78304503,0.064416439,-0.050074086,0.126290909,0.699402059
11/5/2021,0.21201316,0.008822547,0.404465,0.792940906,0.026035576,-0.049363294,0.087686364,0.69751752
11/8/2021,0.187254368,-0.004023642,0.421525,0.783283727,0.035450723,-0.045637201,0.044122727,0.694985214
11/9/2021,0.212784939,0.051534374,0.46964,0.780190983,0.009280398,-0.074067967,0.035040909,0.660631941
11/10/2021,0.250836434,0.135101423,0.539965,0.804671161,0.018211932,-0.046307576,0.009745455,0.63571109
11/11/2021,0.196459001,0.026748514,0.400525,0.793408333,0,-0.049296591,-0.040459091,0.653768962
11/12/2021,0.169908926,-0.001599104,0.37751,0.810511237,0.032129091,-0.055426686,0.028786364,0.68035592
11/15/2021,0.140982274,-0.084544241,0.247335,0.714492428,0.00399233,-0.068319045,-0.029395455,0.676967965
11/16/2021,0.279523722,0.336349721,0.653305,0.85175525,0.041643636,-0.051983092,0.080145455,0.670806546
11/17/2021,0.154161063,-0.06318514,0.31542,0.794258393,0.072797318,-0.047286865,0.126868182,0.7005684
11/18/2021,0.301954531,0.369125515,0.643555,0.869892003,0.003605114,-0.055614719,-0.001522727,0.659220519
11/19/2021,0.305429264,0.375519097,0.69507,0.867195824,0.050164188,-0.046463157,0.069809091,0.674524727
11/22/2021,0.217338129,0.256076179,0.55488,0.841971885,0.040285682,-0.054669503,0.051913636,0.685834088
11/23/2021,0.245487789,0.262299137,0.60276,0.847564352,0.008752864,-0.081379674,0.031159091,0.685083078
11/24/2021,0.241375727,0.171455547,0.56768,0.794178759,0.040652773,-0.048228263,0.089977273,0.696611293
11/26/2021,0.09193422,-0.12119266,0.17294,0.688611199,-0.027792515,-0.065773375,-0.060486364,0.666047392
11/29/2021,0.28114767,0.182362784,0.56852,0.850574714,0.008249167,-0.057941817,-0.005413636,0.668858647
