Date,subj_score,simi_score,vader_score,scores_flair,tw_subj_score,tw_simi_score,tw_vader_score,tw_scores_flair
9/2/2021,0.088789791,-0.065837514,0.228835,0.74786806,0.081071109,0.001284487,0.186603846,0.758221707
9/3/2021,0.13681433,-0.084834651,0.278345,0.74465937,0.054041637,0.013615425,0.174765385,0.746546537
9/6/2021,0.044022694,-0.113070636,0.084385,0.685441951,0.007285804,-0.045054318,-0.003115385,0.660716183
9/7/2021,0.061987342,-0.083814624,0.10474,0.680139318,0.034793115,-0.069371287,0.069638462,0.739846734
9/8/2021,0.165255017,-0.077529826,0.3218,0.734406647,0.031014209,-0.062536928,0.060530769,0.735826215
9/9/2021,0.226211281,0.046584896,0.475465,0.744370785,0.018149615,-0.055497474,0.039876923,0.683935546
9/10/2021,0.019894457,-0.076731889,0.026295,0.667874572,0.13251291,-0.008598711,0.204246154,0.755490074
9/13/2021,0.198476968,0.010849894,0.428075,0.746094093,0.10657901,-0.039610963,0.154973077,0.748380565
9/14/2021,0.083220857,-0.078664062,0.170775,0.704246211,0.066432442,-0.063773483,0.083253846,0.698430653
9/15/2021,0.173849261,-0.013498832,0.37549,0.741536015,0.072000303,-0.07111125,0.068634615,0.708603309
9/16/2021,0.210258299,0.067261891,0.47011,0.80249459,0.111037889,0.017748731,0.203969231,0.763269603
9/17/2021,0.06172855,-0.109050212,0.1213,0.671661399,0.012263538,-0.051945836,0.012973077,0.646949367
9/20/2021,0.1361687,-0.039058994,0.291635,0.776284434,0.040628573,-0.051397551,0.099357692,0.716982055
9/21/2021,0.132200664,-0.075954262,0.273405,0.731080045,0.065324349,-0.054931839,0.124003846,0.713357868
9/22/2021,0.126429701,-0.05086871,0.315255,0.745814939,0.074060125,-0.045559349,0.104992308,0.695359728
9/23/2021,0.12230297,-0.085731121,0.27355,0.723978552,0.094253745,-0.012849037,0.178657692,0.694126583
9/24/2021,0.116638493,-0.084270487,0.27312,0.735633865,0.036588093,-0.05539029,0.065184615,0.704287224
9/27/2021,0.100939933,-0.077279385,0.26074,0.732599062,0.054281105,-0.033139296,0.148546154,0.70681434
9/28/2021,0.040143299,-0.102904496,0.050535,0.676641321,0.008294558,-0.088210388,-0.000915385,0.703523255
9/29/2021,0.185405877,0.00290144,0.391,0.799637267,0.037106586,-0.045251418,0.079169231,0.688318331
9/30/2021,0.097564752,-0.074795448,0.19865,0.742508256,0.033415705,-0.050186642,0.101965385,0.718235555
10/1/2021,0.097149195,-0.12940407,0.17615,0.709961109,0,-0.057008385,0.001034615,0.668069867
10/4/2021,0.100123399,-0.080071079,0.27016,0.747639015,0.075042719,-0.05405708,0.125903846,0.722022043
10/5/2021,0.096474958,-0.089531443,0.229425,0.724471714,0.053103462,-0.051383035,0.108015385,0.714875334
10/6/2021,0.158532639,0.030906233,0.41423,0.769825234,0.023756474,-0.06275914,0.069038462,0.702655799
10/7/2021,0.134016271,-0.074359498,0.26718,0.748631929,0.075224062,-0.050396398,0.150742308,0.771669016
10/8/2021,0.072019813,-0.107896057,0.124565,0.701323444,0.03060837,-0.050948765,0.027511538,0.66363082
10/11/2021,0.103072453,-0.119723691,0.223695,0.708192126,0.03723353,-0.065589036,0.039723077,0.726135939
10/12/2021,0.218451573,0.087818392,0.479315,0.802218123,0.03067688,-0.039340757,0.115034615,0.702684286
10/13/2021,0.155160651,-0.064732785,0.325185,0.738843718,0.08599429,0.053049465,0.2395,0.764541482
10/14/2021,0.088055454,-0.102882735,0.171005,0.669762453,0.055227966,0.017319146,0.181530769,0.776890991
10/15/2021,0.063855311,-0.100042219,0.12135,0.66798005,0.039587801,-0.03955467,0.111392308,0.734938862
