Date,AAPL Searches
2020-11-30,34
2020-12-01,51
2020-12-02,45
2020-12-03,38
2020-12-04,40
2020-12-05,8
2020-12-06,7
2020-12-07,38
2020-12-08,40
2020-12-09,35
2020-12-10,36
2020-12-11,33
2020-12-12,8
2020-12-13,7
2020-12-14,30
2020-12-15,37
2020-12-16,46
2020-12-17,34
2020-12-18,37
2020-12-19,8
2020-12-20,5
2020-12-21,39
2020-12-22,58
2020-12-23,50
2020-12-24,37
2020-12-25,6
2020-12-26,6
2020-12-27,4
2020-12-28,47
2020-12-29,47
2020-12-30,39
2020-12-31,37
2021-01-01,7
2021-01-02,7
2021-01-03,7
2021-01-04,38
2021-01-05,36
2021-01-06,45
2021-01-07,44
2021-01-08,41
2021-01-09,8
2021-01-10,9
2021-01-11,38
2021-01-12,36
2021-01-13,38
2021-01-14,35
2021-01-15,24
2021-01-16,10
2021-01-17,7
2021-01-18,12
2021-01-19,39
2021-01-20,39
2021-01-21,44
2021-01-22,50
2021-01-23,17
2021-01-24,13
2021-01-25,55
2021-01-26,60
2021-01-27,100
2021-01-28,99
2021-01-29,65
2021-01-30,17
2021-01-31,16
2021-02-01,56
2021-02-02,48
2021-02-03,54
2021-02-04,55
2021-02-05,57
2021-02-06,11
2021-02-07,9
2021-02-08,41
2021-02-09,41
2021-02-10,39
2021-02-11,35
2021-02-12,38
2021-02-13,11
2021-02-14,6
2021-02-15,15
2021-02-16,33
2021-02-17,44
2021-02-18,42
2021-02-19,34
2021-02-20,9
2021-02-21,7
2021-02-22,46
2021-02-23,57
2021-02-24,50
2021-02-25,49
2021-02-26,51
2021-02-27,13
2021-02-28,7
2021-03-01,48
2021-03-02,41
2021-03-03,42
2021-03-04,47
2021-03-05,49
2021-03-06,9
2021-03-07,8
2021-03-08,48
2021-03-09,58
2021-03-10,44
2021-03-11,44
2021-03-12,37
2021-03-13,7
2021-03-14,5
2021-03-15,35
2021-03-16,39
2021-03-17,37
2021-03-18,36
2021-03-19,43
2021-03-20,11
2021-03-21,7
2021-03-22,36
2021-03-23,33
2021-03-24,34
2021-03-25,34
2021-03-26,29
2021-03-27,9
2021-03-28,5
2021-03-29,30
2021-03-30,36
2021-03-31,31
2021-04-01,37
2021-04-02,18
2021-04-03,7
2021-04-04,4
2021-04-05,34
2021-04-06,33
2021-04-07,34
2021-04-08,39
2021-04-09,43
2021-04-10,6
2021-04-11,8
2021-04-12,42
2021-04-13,42
2021-04-14,36
2021-04-15,34
2021-04-16,37
2021-04-17,6
2021-04-18,6
2021-04-19,33
2021-04-20,42
2021-04-21,38
2021-04-22,29
2021-04-23,32
2021-04-24,8
2021-04-25,6
2021-04-26,37
2021-04-27,37
2021-04-28,73
2021-04-29,71
2021-04-30,35
2021-05-01,7
2021-05-02,5
2021-05-03,37
2021-05-04,42
2021-05-05,30
2021-05-06,32
2021-05-07,33
2021-05-08,6
2021-05-09,4
2021-05-10,33
2021-05-11,39
2021-05-12,28
2021-05-13,34
2021-05-14,36
2021-05-15,5
2021-05-16,4
2021-05-17,30
2021-05-18,26
2021-05-19,33
2021-05-20,28
2021-05-21,31
2021-05-22,6
2021-05-23,3
2021-05-24,30
2021-05-25,26
2021-05-26,23
2021-05-27,25
2021-05-28,28
2021-05-29,5
2021-05-30,4
2021-05-31,6
2021-06-01,24
2021-06-02,20
2021-06-03,26
2021-06-04,21
2021-06-05,6
2021-06-06,3
2021-06-07,33
2021-06-08,29
2021-06-09,27
2021-06-10,25
2021-06-11,23
2021-06-12,7
2021-06-13,3
2021-06-14,26
2021-06-15,26
2021-06-16,26
2021-06-17,27
2021-06-18,24
2021-06-19,7
2021-06-20,2
2021-06-21,29
2021-06-22,32
2021-06-23,30
2021-06-24,26
2021-06-25,26
2021-06-26,8
2021-06-27,4
2021-06-28,28
2021-06-29,26
2021-06-30,28
2021-07-01,42
2021-07-02,50
2021-07-03,13
2021-07-04,4
2021-07-06,54
2021-07-07,48
2021-07-08,69
2021-07-09,62
2021-07-10,15
2021-07-11,7
2021-07-12,49
2021-07-13,56
2021-07-14,61
2021-07-15,52
2021-07-16,58
2021-07-17,13
2021-07-18,7
2021-07-19,53
2021-07-20,58
2021-07-21,49
2021-07-22,49
2021-07-23,51
2021-07-24,11
2021-07-25,10
2021-07-26,58
2021-07-27,100
2021-07-28,91
2021-07-29,53
2021-07-30,49
2021-07-31,16
2021-08-01,7
2021-08-02,42
2021-08-03,42
2021-08-04,40
2021-08-05,33
2021-08-06,52
2021-08-07,10
2021-08-08,7
2021-08-09,36
2021-08-10,37
2021-08-11,41
2021-08-12,40
2021-08-13,36
2021-08-14,6
2021-08-15,8
2021-08-16,46
2021-08-17,55
2021-08-18,36
2021-08-19,39
2021-08-20,40
2021-08-21,9
2021-08-22,6
2021-08-23,40
2021-08-24,67
2021-08-25,43
2021-08-26,39
2021-08-27,33
2021-08-28,6
2021-08-29,8
2021-08-30,52
2021-08-31,46
2021-09-01,47
2021-09-02,43
2021-09-03,37
2021-09-04,7
2021-09-05,5
2021-09-06,8
2021-09-07,44
2021-09-08,52
2021-09-09,34
2021-09-10,56
2021-09-11,18
2021-09-12,13
2021-09-13,49
2021-09-14,68
2021-09-15,53
2021-09-16,34
2021-09-17,41
2021-09-18,6
2021-09-19,5
2021-09-20,49
2021-09-21,52
2021-09-22,38
2021-09-23,44
2021-09-24,36
2021-09-25,9
2021-09-26,7
2021-09-27,42
2021-09-28,34
2021-09-29,39
2021-09-30,32
2021-10-01,33
2021-10-02,7
2021-10-03,4
2021-10-04,35
2021-10-05,35
2021-10-06,29
2021-10-07,30
2021-10-08,25
2021-10-09,8
2021-10-10,5
2021-10-11,27
2021-10-12,35
2021-10-13,33
2021-10-14,30
2021-10-15,31
2021-10-16,6
2021-10-17,2
2021-10-18,32
2021-10-19,42
2021-10-20,33
2021-10-21,36
2021-10-22,27
2021-10-23,11
2021-10-24,6
2021-10-25,28
2021-10-26,38
2021-10-27,34
2021-10-28,71
2021-10-29,68
2021-10-30,11
2021-10-31,9
2021-11-01,38
2021-11-02,36
2021-11-03,32
2021-11-04,34
2021-11-05,33
2021-11-06,6
2021-11-07,5
2021-11-08,26
2021-11-09,28
2021-11-10,29
2021-11-11,33
2021-11-12,29
2021-11-13,8
2021-11-14,4
2021-11-15,31
2021-11-16,28
2021-11-17,25
2021-11-18,47
2021-11-19,50
2021-11-20,10
2021-11-21,6
2021-11-22,49
2021-11-23,40
2021-11-24,30
2021-11-25,10
2021-11-26,29
2021-11-27,9
2021-11-28,5
2021-11-29,36
2021-11-30,46
