Date,CRM Searches
2021-07-01,15
2021-07-02,16
2021-07-03,2
2021-07-04,5
2021-07-06,22
2021-07-07,25
2021-07-08,26
2021-07-09,20
2021-07-10,10
2021-07-11,12
2021-07-12,33
2021-07-13,24
2021-07-14,21
2021-07-15,22
2021-07-16,18
2021-07-17,0
2021-07-18,5
2021-07-19,24
2021-07-20,20
2021-07-21,16
2021-07-22,33
2021-07-23,23
2021-07-24,5
2021-07-25,5
2021-07-26,17
2021-07-27,15
2021-07-28,26
2021-07-29,17
2021-07-30,13
2021-07-31,10
2021-08-01,10
2021-08-02,15
2021-08-03,11
2021-08-04,9
2021-08-05,24
2021-08-06,27
2021-08-07,7
2021-08-08,5
2021-08-09,9
2021-08-10,20
2021-08-11,29
2021-08-12,22
2021-08-13,18
2021-08-14,2
2021-08-15,5
2021-08-16,24
2021-08-17,13
2021-08-18,28
2021-08-19,22
2021-08-20,11
2021-08-21,14
2021-08-22,2
2021-08-23,26
2021-08-24,39
2021-08-25,90
2021-08-26,100
2021-08-27,44
2021-08-28,5
2021-08-29,7
2021-08-30,43
2021-08-31,40
2021-09-01,39
2021-09-02,21
2021-09-03,17
2021-09-04,11
2021-09-05,8
2021-09-06,12
2021-09-07,25
2021-09-08,23
2021-09-09,19
2021-09-10,15
2021-09-11,8
2021-09-12,10
2021-09-13,23
2021-09-14,20
2021-09-15,27
2021-09-16,7
2021-09-17,10
2021-09-18,5
2021-09-19,10
2021-09-20,18
2021-09-21,16
2021-09-22,27
2021-09-23,51
2021-09-24,48
2021-09-25,10
2021-09-26,10
2021-09-27,32
2021-09-28,31
2021-09-29,29
2021-09-30,20
2021-10-01,19
2021-10-02,5
2021-10-03,0
2021-10-04,17
2021-10-05,17
2021-10-06,17
2021-10-07,19
2021-10-08,14
2021-10-09,0
2021-10-10,0
2021-10-11,13
2021-10-12,14
2021-10-13,29
2021-10-14,27
2021-10-15,20
2021-10-16,2
2021-10-17,2
2021-10-18,18
2021-10-19,18
2021-10-20,18
2021-10-21,23
2021-10-22,14
2021-10-23,4
2021-10-24,7
2021-10-25,20
2021-10-26,25
2021-10-27,15
2021-10-28,20
2021-10-29,13
2021-10-30,7
2021-10-31,5
2021-11-01,25
2021-11-02,29
2021-11-03,17
2021-11-04,19
2021-11-05,18
2021-11-06,4
2021-11-07,0
2021-11-08,17
2021-11-09,16
2021-11-10,19
2021-11-11,9
2021-11-12,13
2021-11-13,5
2021-11-14,3
2021-11-15,16
2021-11-16,18
2021-11-17,12
2021-11-18,15
2021-11-19,16
2021-11-20,7
2021-11-21,10
2021-11-22,11
2021-11-23,19
2021-11-24,14
2021-11-25,9
2021-11-26,11
2021-11-27,3
2021-11-28,10
2021-11-29,24
2021-11-30,64
2021-12-01,69
2021-12-02,47
2021-12-03,33
2021-12-04,5
2021-12-05,5
2021-12-06,24
2021-12-07,23
2021-12-08,19
2021-12-09,38
2021-12-10,24
2021-12-11,9
2021-12-12,9
2021-12-13,14
2021-12-14,9
2021-12-15,22
2021-12-16,26
2021-12-17,10
2021-12-18,2
2021-12-19,4
2021-12-20,12
2021-12-21,18
2021-12-22,16
2021-12-23,17
2021-12-24,2
2021-12-25,6
2021-12-26,2
2021-12-27,28
2021-12-28,15
2021-12-29,20
2021-12-30,21
2021-12-31,18
2022-01-01,8
2022-01-02,2
2022-01-03,8
2022-01-04,18
2022-01-05,35
2022-01-06,45
2022-01-07,28
2022-01-08,2
2022-01-09,5
2022-01-10,22
2022-01-11,24
2022-01-12,17
2022-01-13,32
2022-01-14,24
2022-01-15,5
2022-01-16,2
2022-01-17,16
2022-01-18,18
2022-01-19,17
2022-01-20,16
