Date,NVDA Searches
2021-07-01,36
2021-07-02,29
2021-07-03,8
2021-07-04,5
2021-07-05,7
2021-07-06,41
2021-07-07,34
2021-07-08,34
2021-07-09,30
2021-07-10,9
2021-07-11,6
2021-07-12,31
2021-07-13,26
2021-07-14,34
2021-07-15,31
2021-07-16,41
2021-07-17,8
2021-07-18,3
2021-07-19,41
2021-07-20,100
2021-07-21,50
2021-07-22,54
2021-07-23,42
2021-07-24,12
2021-07-25,4
2021-07-26,32
2021-07-27,32
2021-07-28,30
2021-07-29,33
2021-07-30,26
2021-07-31,7
2021-08-01,5
2021-08-02,21
2021-08-03,34
2021-08-04,30
2021-08-05,40
2021-08-06,28
2021-08-07,9
2021-08-08,5
2021-08-09,24
2021-08-10,22
2021-08-11,23
2021-08-12,26
2021-08-13,23
2021-08-14,9
2021-08-15,6
2021-08-16,26
2021-08-17,25
2021-08-18,50
2021-08-19,45
2021-08-20,42
2021-08-21,13
2021-08-22,10
2021-08-23,47
2021-08-24,52
2021-08-25,34
2021-08-26,31
2021-08-27,33
2021-08-28,5
2021-08-29,7
2021-08-30,33
2021-08-31,31
2021-09-01,33
2021-09-02,23
2021-09-03,26
2021-09-04,9
2021-09-05,4
2021-09-06,8
2021-09-07,25
2021-09-08,23
2021-09-09,24
2021-09-10,16
2021-09-11,3
2021-09-12,3
2021-09-13,23
2021-09-14,25
2021-09-15,17
2021-09-16,20
2021-09-17,19
2021-09-18,5
2021-09-19,8
2021-09-20,24
2021-09-21,18
2021-09-22,20
2021-09-23,27
2021-09-24,25
2021-09-25,5
2021-09-26,2
2021-09-27,27
2021-09-28,19
2021-09-29,27
2021-09-30,18
2021-10-01,16
2021-10-02,4
2021-10-03,2
2021-10-04,26
2021-10-05,22
2021-10-06,14
2021-10-07,13
2021-10-08,13
2021-10-09,6
2021-10-10,1
2021-10-11,12
2021-10-12,17
2021-10-13,16
2021-10-14,19
2021-10-15,20
2021-10-16,4
2021-10-17,2
2021-10-18,12
2021-10-19,17
2021-10-20,16
2021-10-21,16
2021-10-22,21
2021-10-23,5
2021-10-24,3
2021-10-25,19
2021-10-26,37
2021-10-27,27
2021-10-28,16
2021-10-29,28
2021-10-30,7
2021-10-31,6
2021-11-01,23
2021-11-02,29
2021-11-03,27
2021-11-04,67
2021-11-05,55
2021-11-06,13
2021-11-07,7
2021-11-08,35
2021-11-09,48
2021-11-10,45
2021-11-11,40
2021-11-12,37
2021-11-13,9
2021-11-14,6
2021-11-15,35
2021-11-16,35
2021-11-17,58
2021-11-18,85
2021-11-19,57
2021-11-20,14
2021-11-21,6
2021-11-22,40
2021-11-23,38
2021-11-24,33
2021-11-25,15
2021-11-26,27
2021-11-27,7
2021-11-28,8
2021-11-29,30
2021-11-30,38
2021-12-01,35
2021-12-02,31
2021-12-03,37
2021-12-04,13
2021-12-05,7
2021-12-06,35
2021-12-07,41
2021-12-08,36
2021-12-09,34
2021-12-10,40
2021-12-11,8
2021-12-12,6
2021-12-13,29
2021-12-14,37
2021-12-15,35
2021-12-16,39
2021-12-17,41
2021-12-18,7
2021-12-19,6
2021-12-20,35
2021-12-21,37
2021-12-22,32
2021-12-23,31
2021-12-24,10
2021-12-25,5
2021-12-26,3
2021-12-27,24
2021-12-28,37
2021-12-29,32
2021-12-30,27
2021-12-31,23
2022-01-01,3
2022-01-02,6
2022-01-03,29
2022-01-04,34
2022-01-05,33
2022-01-06,40
2022-01-07,33
2022-01-08,8
2022-01-09,5
2022-01-10,36
2022-01-11,37
2022-01-12,29
2022-01-13,30
2022-01-14,24
2022-01-15,8
2022-01-16,5
2022-01-17,11
2022-01-18,27
2022-01-19,22
2022-01-20,18
