Date,PYPL Searches
2021-07-01,11
2021-07-02,12
2021-07-03,3
2021-07-04,5
2021-07-05,6
2021-07-06,15
2021-07-07,8
2021-07-08,13
2021-07-09,21
2021-07-10,5
2021-07-11,6
2021-07-12,13
2021-07-13,17
2021-07-14,15
2021-07-15,14
2021-07-16,10
2021-07-17,5
2021-07-18,0
2021-07-19,11
2021-07-20,12
2021-07-21,25
2021-07-22,16
2021-07-23,21
2021-07-24,3
2021-07-25,2
2021-07-26,14
2021-07-27,13
2021-07-28,39
2021-07-29,35
2021-07-30,17
2021-07-31,6
2021-08-01,2
2021-08-02,43
2021-08-03,12
2021-08-04,10
2021-08-05,20
2021-08-06,16
2021-08-07,0
2021-08-08,2
2021-08-09,15
2021-08-10,10
2021-08-11,14
2021-08-12,6
2021-08-13,17
2021-08-14,3
2021-08-15,6
2021-08-16,11
2021-08-17,17
2021-08-18,11
2021-08-19,14
2021-08-20,11
2021-08-21,6
2021-08-22,5
2021-08-23,21
2021-08-24,15
2021-08-25,20
2021-08-26,7
2021-08-27,6
2021-08-28,0
2021-08-29,3
2021-08-30,28
2021-08-31,13
2021-09-01,11
2021-09-02,15
2021-09-03,15
2021-09-04,3
2021-09-05,2
2021-09-06,3
2021-09-07,23
2021-09-08,21
2021-09-09,20
2021-09-10,5
2021-09-11,5
2021-09-12,3
2021-09-13,6
2021-09-14,12
2021-09-15,6
2021-09-16,15
2021-09-17,14
2021-09-18,3
2021-09-19,0
2021-09-20,15
2021-09-21,10
2021-09-22,17
2021-09-23,13
2021-09-24,14
2021-09-25,8
2021-09-26,0
2021-09-27,13
2021-09-28,11
2021-09-29,12
2021-09-30,1
2021-10-01,11
2021-10-02,7
2021-10-03,2
2021-10-04,10
2021-10-05,12
2021-10-06,7
2021-10-07,5
2021-10-08,6
2021-10-09,2
2021-10-10,1
2021-10-11,10
2021-10-12,20
2021-10-13,12
2021-10-14,13
2021-10-15,16
2021-10-16,9
2021-10-17,2
2021-10-18,10
2021-10-19,14
2021-10-20,34
2021-10-21,46
2021-10-22,36
2021-10-23,6
2021-10-24,2
2021-10-25,50
2021-10-26,34
2021-10-27,30
2021-10-28,22
2021-10-29,21
2021-10-30,5
2021-10-31,2
2021-11-01,27
2021-11-02,31
2021-11-03,30
2021-11-04,31
2021-11-05,35
2021-11-06,9
2021-11-07,10
2021-11-08,66
2021-11-09,100
2021-11-10,66
2021-11-11,62
2021-11-12,44
2021-11-13,15
2021-11-14,7
2021-11-15,31
2021-11-16,30
2021-11-17,53
2021-11-18,38
2021-11-19,41
2021-11-20,11
2021-11-21,8
2021-11-22,47
2021-11-23,52
2021-11-24,36
2021-11-25,12
2021-11-26,31
2021-11-27,11
2021-11-28,9
2021-11-29,30
2021-11-30,26
2021-12-01,34
2021-12-02,45
2021-12-03,31
2021-12-04,13
2021-12-05,9
2021-12-06,40
2021-12-07,30
2021-12-08,45
2021-12-09,28
2021-12-10,29
2021-12-11,10
2021-12-12,5
2021-12-13,27
2021-12-14,21
2021-12-15,25
2021-12-16,23
2021-12-17,19
2021-12-18,10
2021-12-19,4
2021-12-20,28
2021-12-21,30
2021-12-22,30
2021-12-23,23
2021-12-24,11
2021-12-25,0
2021-12-26,0
2021-12-27,18
2021-12-28,29
2021-12-29,28
2021-12-30,25
2021-12-31,17
2022-01-01,4
2022-01-02,2
2022-01-03,18
2022-01-04,36
2022-01-05,24
2022-01-06,15
2022-01-07,31
2022-01-08,5
2022-01-09,5
2022-01-10,22
2022-01-11,39
2022-01-12,23
2022-01-13,27
2022-01-14,24
2022-01-15,10
2022-01-16,6
2022-01-17,4
2022-01-18,21
2022-01-19,22
2022-01-20,19
