Date,full_text,retweet_count
2021-09-02,GOOG SIGNAL for CLOSE PRICE Prediction for the next 7 Days starting 2021 09 01 goog,0
2021-09-02,GOOG 2021 09 01 CLOSE PRICE 2916 840088 goog,0
2021-09-02,To hold or to sell Alphabet GOOG GOOG that is the question on my mind tonight Any suggestions hints appreciated,0
2021-09-02,NFLX looking to make that 625 650 push in the coming weeks NFLX WSB WallStreet Stocks Stonks AAPL BBIG GOOG AMZN GME AMC,0
2021-09-02,GOOG bearish engulfing on the daily GOOG,0
2021-09-02,Google is the internet google googl goog stock market tech technology epic internet monster,0
2021-09-04,GOOG continues to push higher and remains moving in its uptrend Google s stock price says a lot about its value Its shares rose from 750 to 2k in 5 years To organize the world s information and operate everywhere on 24 7 carbon free energy by 2030 is an investor s watch,0
2021-09-05,NYSE Advance Decline Line seasonality and cycles model are bullish looking out to late November Pullbacks in major indices will likely be limited to 3 5 Chart platform Foundation for the Study of Cycles AD Cycles SPY APPL MSFT AMZN GOOG,0
2021-09-05,GOOG 2021 09 03 CLOSE PRICE 2895 5 goog,0
2021-09-05,Google is the internet google googl goog stock market tech technology epic internet monster,0
2021-09-05,GOOG SIGNAL for CLOSE PRICE Prediction for the next 7 Days starting 2021 09 03 goog,0
2021-09-06,Google is the internet google googl goog stock market tech technology epic internet monster,0
2021-09-07,GOOG will dip soon to 2779 if that breaks then to 2671 In unlikely scenario it can go to 2566 GOOG Google stock options trading technicals forex trader stockmarket pips investing daytrader profit wallstreet futures StocksToBuy Traders dip daytrader,0
2021-09-07,Next Tuesday NEO Spotlight with on the revolutionary launch of Canadian Depositary Receipts CDRs We ll learn how they ve redefined global investing for Canadians how they differ from classical ADRs and future plans for roll out AMZN NFLX GOOG AAPL TSLA CDR,2
2021-09-08,Google is the internet google googl goog stock market tech technology epic internet monster,0
2021-09-08,MDB is likely to dip soon to 423 5 Visit to learn more GOOG Google stock options trading technicals forex trader stockmarket pips investing daytrader profit wallstreet futures StocksToBuy Traders dip daytrader,0
2021-09-08,Avocor Announces Strategic Partnership with Google Workspace and Launches Two New Google Meet Series One All in one Video Conferencing Devices Revolutionizing Personal and Team Collaboration URL Avocor collaboration FlatFrog Goog Google Go,0
2021-09-08,GOOG 1 day GOOG goog Google Growth stocks StocksToBuy StocksToTrade investing supporttrends trendlines,0
2021-09-08,GOOG 4hr GOOG goog stocks google growth investing StocksInFocus StocksToBuy trendlines trendsupport,0
2021-09-09,You need to run your business not be a pro at marketing it increasesales onlinepresence digitalagency marketingmadeeasy marketingtips4you marketingagency marketingadvice marketingconsultant digitalamarketing digitaladvertising SEO goog,0
2021-09-09,GOOG HealthCare 4 Stocks Insiders Are Selling,0
2021-09-09,Google is the internet google googl goog stock market tech technology epic internet monster,0
2021-09-10,Check out my GOOG AAPL FB AMZN TSLA MSFT analysis on,0
2021-09-10,Google Cloud Joins the SRT Alliance URL Goog Googl Google HAI Haivision Membership ProAV SecureReliableTransport SRT SRTAlliance,0
2021-09-10,Sold GOOG and AAPL bought ABNB Seen worse days,0
2021-09-10,GOOG GOOGL short trade working out on the recent AAPL news The stock was extended with real regulatory risks circling near term These risks impact other large tech companies that use consumers info to make money,0
2021-09-11,Google What Can I Say google googl stock tech internet goog technology epic monster,0
2021-09-11,AAPL MSFT AMZN GOOG FB Is this going to be the first of many successful legal challenges against the big 5 tech giants amp who have been criticised for alleged anti competitive behaviour,0
2021-09-13,Google and its History Fun Facts GOOG GOOGLE 1 n,0
2021-09-13,GOOG GOOGLE MOONSHOT STRATEGY Source Google annual report,0
2021-09-13,GOOGL Update 1hr investing trading daytrading stockmarket Elliottwave elliottwave options Stock stocktowatch Google GOOG fang,0
2021-09-13,More advanced investors and traders don t only focus on local stocks They also have exposures in global markets GOOG FB AMZN GrowYourMoney BeFinanciallyFree InvestMoneyPH,0
2021-09-13,Google is the internet google googl goog stock market tech technology epic internet monster,0
2021-09-13,When do you think we will see autonomous ambulances and fire trucks on the streets that can navigate faster safer and more nimble in traffic TSLA NIO LCID GOOG AAPL,0
2021-09-13,goog faces whistleblower complaint that it underpaid temp workers by as much as 100 million Pay disparities over several years in markets outside the US added up quickly business wages,2
2021-09-14,Google is the internet google googl goog stock market tech technology epic internet monster,1
2021-09-14,GOOG 10 15 2800P Looking for at least 2 791 GOOG,0
