Date,full_text,retweet_count
2021-07-26,Why is it acceptable for the city of San Diego to permit the closing of a bike lane without a good detour If city regs permit this sort of thing they should be changed sd,0
2021-09-02,The nice news VZ,0
2021-09-06,The NFP NationalFreedomParty has confirmed the news of the passing away of its president ZaneleKaMagwazaMsibi VZ,14
2021-09-07,I would love to see jodeci do a vz battle vz,0
2021-09-07,Sign up for the Spin card and get 25 plus app will donate an additional 5 to BitcoinBeach VZ,0
2021-09-10,Bangkok BKK to Chiang Rai HKT 16 Roundtrip Sep 2021 Thai Vietjet Air VZ AIR TRAVELER CLUB price 16 regular price 40 flightdeal,0
2021-09-11,WATCH BEARISH SEPT SELL OFF DOW JONES INDEX DJIA DOW 30 DIA JNJ JNJ JPM JPM KO KO MCD MCD McDonalds MMM MMM MRK MRK MSFT MSFT Microsoft NKE NKE Nike PG PG TRV TRV UNH UNH V V Visa VZ VZ Verizon WBA WBA WMT WMT Walmart,0
2021-09-13,VZ Policy Recommendation A proper safe detour lane or route should shall be provided when a bike lane is occupied for more than one day Bailey visionzero,1
2021-09-14,3 No Brainer Warren Buffett Stocks to Buy Right Now MRK MRK VZ VZ MA MA Not every name Berkshire Hathaway holds is right for all investors but any of these three picks would be at home in almost any investor s portfolio,0
2021-09-15,5 adults amp 5 small kids huddled out in the middle of traffic trying to get to school 4 more at least queued up Foothill path Pearl This one crossing breaks up a 4 mile school commute corridor otherwise totally separated from cars boulder vz,1
2021-09-15,This Vz all these tracks logged in my memory over the years Unforgettable sounds The effect of HipHop be it then or now is always brand new,0
2021-09-15,VZ fate Utile Arts planning,0
2021-09-16,HAPPY BIRTHDAY TO VIVI 2021 09 16 WE YOU HappySunshineDays VZ FangirlOppa 20210916 Peze,0
2021-09-17,Just bought some more vz trying to get my phone bill paid in dividends from my phone company,0
2021-09-17,Jenbach vz donauwellenreiter delta tour music musician musiciansofinstagram cello cellist,0
2021-09-19,VETERANS recovery documentary free on this link or Amazon Prime hartford bridgeport queens boston bronx florida vz mo,0
2021-09-19,You re never too young or too old to start saving money Hex Bitcoin Ethereum GME USD VZ Apple,5
2021-09-19,Play offs en casa VZ,0
2021-09-22,AT amp T Is Set To Soar But Retirees Should Love Verizon Even More vz,0
2021-09-24,VZ Awaiting Short Signal Stock Trading Ideas by UltraAlgo VZ TradingAlgo stockmarket,0
2021-09-25,Do 50 Cent and Ja Rule still have beef SeriousQuestion Because they need to do a Verzuz vz 50Cent JaRule,0
2021-09-26,Boulder parents and students let s do this vz actonclimate,4
2021-09-27,VZ Awaiting Short Signal Stock Trading Ideas by UltraAlgo VZ TradingAlgo pennystocks nasdaq nyse,0
2021-09-28,Fam NOBODY scared of in a VZ trippin I like Bus but he has ZERO cultural classics ZERO classic albums and quite possibly short on 20 hits Ante Up is MOP song VZ Busta Rapradar,0
2021-09-29,Weird day for markets So many stocks are trading red while VZ is up,0
2021-10-06,VETERANS recovery documentary free on this link or Amazon Prime hartford bridgeport queens boston bronx florida vz mo,0
2021-10-07,VZ Short Verizonin D TradingView,0
2021-10-07,Why is not doing w instead of think would be a better vz,0
2021-10-11,VZ verizon TradingView,0
2021-10-12,bqe nyc bus broken down in HOV west bound 38th street avoid HOV lane if coming from bk bridge DUMBO or Tunnel VZ verrazano statenisland,0
2021-10-13,Wave 2 Trade Setup in MSFT Before amp After Are you in with us algotrading NDX SPX MSFT APPL AMZN GOOG GOOGL FB AMD NVDA SMH XLK JPM M PG UNH INTC VZ MA PFE MRK BAC DIS NFLX TSLA,1
2021-10-14,Stockholm ARN to Phuket HKT 51 OFF Roundtrip Oct 2021 Finnair AY Thai Vietjet Air VZ AIR TRAVELER CLUB price 463 regular price 960 flightdeal,0
2021-10-15,Wonderful to finally have City leadership to prioritize public safety and provide safe access for moving through our city without a car helping reach both CAP and VZ targets while providing more outdoor opportunities for QOL,0
2021-10-15,San Diego is making a shift to being more proactive and quicker to implement safer bike lanes Over 14 people have lost their lives in our region this year alone Retweet if you support more safe bike lanes in your neighborhood,30
2021-10-15,4 Largest telecommunication companies by market cap VZ chart on,0
2021-10-16,The most anticipated earnings releases scheduled for the week are Tesla TSLA Netflix NFLX Johnson amp Johnson JNJ Cleveland Cliffs CLF Snap SNAP Verizon VZ ASML ASML AT amp T T Intel INTC and Halliburton HAL EarningsCalendar earnings earningsseason tesla,0
2021-10-17,Oh man It s The Teacha the Blastmaster KRSONE HipHopLit When you grow up amp KRS is in ya ear on the TV screen spittin rhymes about Friends it stays with you Forever Big night Vz aaaaand we got BigDaddyKane on the other side Where do we even begin,0
2021-10-17,nice KRS1vzBigDaddyKane Vz,0
2021-10-17,VERZUZ,109
2021-10-19,VZ VZ Verizon stock looks great here for a buy the dips target 64,0
2021-10-20,Earnings News VZ Technicals Trading Ideas PreMarket Prep Stock Of The Day Verizon,0
2021-10-20,Opening Bell VZ VZ 52 35 0 85 Join The Hype List,0
2021-10-20,VZ Verizon shows fake growth and it goes up 1 5 Wait until investors see the bill from the Spectrum Auction LOL VZ Bearish,0
2021-10-20,it s a good decision because the share price is irrelevant due to the dividend and fantastic long term hold Do u think VZ will cut Div NO VZ,0
2021-10-20,After three years of building networks to beam wireless broadband into homes Verizon VZ VZ says for the first time it has signed on a total of 150 000 subscribers,0
2021-10-20,Briefs Earnings News VZ Guidance Verizon Reports Mixed Q3 Results Lifts FY21 EPS Outlook,0
2021-10-21,Stocks to watch Bullish reversals PINS T SOS VZ SKLZ Recovering from recent lows SOS T SKLZ VZ PINS,0
2021-10-21,Verizon Moves Higher On Strong Outlook VZ VZ verizonstock earnings pricetarget,0
2021-10-22,Verizon VZ Stock Price Forecast Levels to Watch After Earnings VZ,0
